"id","name","neighbourhood_group_cleansed","neighbourhood_cleansed","property_type","room_type","number_of_reviews","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","bedrooms","beds","price"
8967396,"Gem in Bronx","Bronx","Clason Point","Entire townhouse","Entire home/apt",1,5,5,5,5,5,5,5,2,4,90
8971258,"Gorgeous Three Bedroom Split Level","Brooklyn","Canarsie","Entire residential home","Entire home/apt",40,4.23,4.33,4.28,4.69,4.46,4.58,4.37,3,7,185
8972219,"Cozy apartment East Village NYC","Manhattan","East Village","Entire rental unit","Entire home/apt",4,4.75,5,4.75,4.75,4.75,5,4.75,1,1,130
8972807,"Cosy loft 20 mins to Manhattan","Brooklyn","Williamsburg","Private room in rental unit","Private room",1,3,4,4,4,4,4,3,1,1,53
8973075,"Large Private Room, great location!","Manhattan","Midtown","Private room in rental unit","Private room",13,4.54,4.67,4.69,4.83,4.77,4.92,4.67,1,2,134
8973682,"1 Room in Apt. near Columbia Univ.","Manhattan","Upper West Side","Private room in rental unit","Private room",1,4,4,4,4,4,4,5,1,1,104
8974316,"Great room in Upper Manhattan, New York!!!","Manhattan","Harlem","Private room in rental unit","Private room",24,4.83,4.92,4.83,4.96,5,4.79,4.92,1,1,53
8975190,"Fresh and great 2BR","Brooklyn","Sheepshead Bay","Entire rental unit","Entire home/apt",204,4.51,4.63,4.5,4.81,4.77,4.67,4.54,2,3,80
8984085,"Bedroom with private bathroom & rooftop in duplex","Brooklyn","Crown Heights","Private room in rental unit","Private room",24,4.42,4.54,4.29,4.79,4.63,4.29,4.63,1,1,60
8985316,"Upper East close to the subway PERFECT LOCATION","Manhattan","Upper East Side","Entire rental unit","Entire home/apt",28,4.43,4.57,4.29,4.86,4.89,4.82,4.43,1,1,250
8986585,"Williamsburg Two Bedroom/Two Bath","Brooklyn","Williamsburg","Entire rental unit","Entire home/apt",51,4.74,4.92,4.9,4.96,4.96,4.65,4.73,2,3,275
8987606,"big, quiet village 1BR: 30+days, good4singles/work","Manhattan","East Village","Entire rental unit","Entire home/apt",39,4.68,4.81,4.65,4.95,4.87,4.92,4.62,1,1,199
8989320,"Clean Spacious Residence Near Central Park  North","Manhattan","Harlem","Entire rental unit","Entire home/apt",272,4.97,4.97,4.98,4.98,4.99,4.68,4.92,1,3,200
8990116,"Bright and spacious 1 bedroom","Brooklyn","Williamsburg","Entire rental unit","Entire home/apt",19,4.82,4.76,4.76,4.76,4.94,4.82,4.76,1,1,150
8990988,"The Most Happening Hood in BK!","Brooklyn","Bushwick","Entire rental unit","Entire home/apt",6,4,3.67,5,4,5,4,3.33,1,1,75
8992714,"Thanksgiving in Beautiful Bed-Stuy","Brooklyn","Bedford-Stuyvesant","Private room in rental unit","Private room",2,5,4.5,5,5,5,4.5,5,1,1,51
8993871,"Sunny bedroom with balcony, Queens","Queens","Elmhurst","Private room in rental unit","Private room",172,4.7,4.79,4.78,4.9,4.98,4.76,4.65,1,1,65
8994197,"1 Bedroom in the heart of Greenwich Village / SoHo","Manhattan","Greenwich Village","Entire rental unit","Entire home/apt",2,5,5,5,5,5,5,5,1,1,115
8995042,"Private room in Brooklyn","Brooklyn","Bedford-Stuyvesant","Private room in residential home","Private room",29,4.75,4.89,4.71,5,4.93,4.64,4.75,1,1,50
9002096,"Queen Size Bedroom with full closet","Brooklyn","Crown Heights","Private room in rental unit","Private room",3,5,5,5,5,5,4.67,5,1,1,45
9005771,"6 week sublet in Harlem","Manhattan","Harlem","Private room in rental unit","Private room",1,5,5,5,5,5,5,5,1,1,45
9011614,"Bed-Stuy Brownstone","Brooklyn","Bedford-Stuyvesant","Entire rental unit","Entire home/apt",1,5,5,5,5,4,5,5,3,3,150
9022913,"Stylish Townhouse, 2 large bedrooms, ensuite bths","Brooklyn","Bedford-Stuyvesant","Entire residential home","Entire home/apt",15,4.87,5,5,5,5,4.73,4.73,2,3,262
9024874,"Beautiful Apartment in East Village","Manhattan","East Village","Entire rental unit","Entire home/apt",11,5,4.8,4.7,4.7,5,5,5,1,1,139
